tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
AAPL,2021,1,4.714,Pre,1,Operator,Host,Welcome to the Apple Q1 fiscal year 2021 earnings conference call.,0.000507311,0.000507311,0
AAPL,2021,1,6.956,Pre,2,Operator,Host,Today's call is being recorded.,9.39E-05,0.000601229,0
AAPL,2021,1,18.367,Pre,3,Operator,Host,"At this time for opening remarks and introductions, I would like to turn the call over to Tejas Ghatla, Director of Investor Relations and Corporate Finance.",-0.001541305,-0.000940077,0
AAPL,2021,1,19.448,Pre,4,Operator,Host,Please go ahead.,-0.007251452,-0.008191529,0
AAPL,2021,1,21.87,Pre,5,Tejas Ghatla,Director of Investor Relations and Corporate Finance,Thank you.,0.159266192,0.151074663,0
AAPL,2021,1,24.373,Pre,6,Tejas Ghatla,Director of Investor Relations and Corporate Finance,Good afternoon and thank you for joining us.,0.5510278,0.702102463,0
AAPL,2021,1,30.376,Pre,7,Tejas Ghatla,Director of Investor Relations and Corporate Finance,"Speaking first today is Apple CEO Tim Cook, and he'll be followed by CFO Luca Maestri.",-3.12E-06,0.702099347,0
AAPL,2021,1,33.881,Pre,8,Tejas Ghatla,Director of Investor Relations and Corporate Finance,"After that, we'll open the call to questions from analysts.",-6.34E-05,0.702035968,0
AAPL,2021,1,58.803,Pre,9,Tejas Ghatla,Director of Investor Relations and Corporate Finance,"Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook, including the potential impact of COVID-19 on the company's business and results of operations.",-0.001053535,0.700982432,0
AAPL,2021,1,66.166,Pre,10,Tejas Ghatla,Director of Investor Relations and Corporate Finance,These statements involve risks and uncertainties that may cause actual results or trends to differ materially from our forecast.,-0.126272535,0.574709897,0
AAPL,2021,1,80.132,Pre,11,Tejas Ghatla,Director of Investor Relations and Corporate Finance,"For more information, please refer to the risk factors discussed in Apple's most recently filed annual report on Form 10-K and the Form 8-K filed with the SEC today, along with the associated press release.",-0.004192028,0.570517869,0
AAPL,2021,1,88.496,Pre,12,Tejas Ghatla,Director of Investor Relations and Corporate Finance,Apple assumes no obligation to update any forward-looking statements or information which speak as of their respective dates.,-0.000160973,0.570356895,0
AAPL,2021,1,92.131,Pre,13,Tejas Ghatla,Director of Investor Relations and Corporate Finance,I'd now like to turn the call over to Tim for introductory remarks.,-0.000787707,0.569569189,0
AAPL,2021,1,93.752,Pre,14,Tim Cook,Chief Executive Officer,"Thank you, Tejas.",0.060902829,0.630472017,0
AAPL,2021,1,95.134,Pre,15,Tim Cook,Chief Executive Officer,"Good afternoon, everyone.",0.238991696,0.869463713,0
AAPL,2021,1,96.876,Pre,16,Tim Cook,Chief Executive Officer,Thanks for joining the call today.,0.947093739,1.816557453,1
AAPL,2021,1,105.404,Pre,17,Tim Cook,Chief Executive Officer,It's with great gratitude for the tireless and innovative work of every Apple team member worldwide that I share.,0.999999982,2.816557435,0
AAPL,2021,1,266.275,Pre,18,Tim Cook,Chief Executive Officer,the results of a very strong quarter for Apple.,0.999999991,3.816557426,0
AAPL,2021,1,271.139,Pre,19,Tim Cook,Chief Executive Officer,We achieved an all-time revenue record of $111.4 billion.,0.999999993,4.816557419,0
AAPL,2021,1,281.287,Pre,20,Tim Cook,Chief Executive Officer,"We saw strong double-digit growth across every product category, and we achieved all-time revenue records in each of our geographic segments.",0.999999996,5.816557416,0
AAPL,2021,1,288.713,Pre,21,Tim Cook,Chief Executive Officer,It is not far from any of our minds that this result caps off the most challenging year any of us can remember.,-0.948634317,4.867923099,1
AAPL,2021,1,304.674,Pre,22,Tim Cook,Chief Executive Officer,"And it is an understatement to say that the challenges it posed to Apple as a business paled in comparison to the challenge it posed to Apple as a community of individuals, to employees, to their families, and to the communities we live in and love to call home.",0.25803753,5.125960629,0
AAPL,2021,1,328.626,Pre,23,Tim Cook,Chief Executive Officer,"While these results show the central role that our products played in helping our users respond to these challenges, we are doubly aware that the work ahead of all of us to navigate the end of this pandemic, to restore normal life and prosperity in our neighborhoods and local economies, and to build back with a sense of justice is profound and urgent.",-0.977200579,4.14876005,0
AAPL,2021,1,341.271,Pre,24,Tim Cook,Chief Executive Officer,"We will speak to these needs and Apple's efforts throughout today's call, but I want to first offer the context of a detailed look at our results this quarter, including why we outperformed our expectations.",0.999726074,5.148486123,0
AAPL,2021,1,344.693,Pre,25,Tim Cook,Chief Executive Officer,Let's get started with hardware.,-3.31E-05,5.148453068,0
AAPL,2021,1,358.027,Pre,26,Tim Cook,Chief Executive Officer,We hit a new high watermark for our installed base of active devices with growth accelerating as we passed 1.65 billion devices worldwide during the December quarter.,0.999999994,6.148453062,1
AAPL,2021,1,371.238,Pre,27,Tim Cook,Chief Executive Officer,"iPhone grew by 17% year over year, driven by strong demand for the iPhone 12 family, and our active installed base of iPhones is now over 1 billion.",0.999999996,7.148453058,0
AAPL,2021,1,387.992,Pre,28,Tim Cook,Chief Executive Officer,The customer response to the new iPhone 12 model's unprecedented innovation from world-class cameras to the great and growing potential of 5G has been enthusiastic even in light of the ongoing COVID-19 impact at retail locations.,0.999999797,8.148452855,0
AAPL,2021,1,400.179,Pre,29,Tim Cook,Chief Executive Officer,"iPad and Mac grew by 41 and 21% respectively, reflecting the continuing role these devices have played in our users' lives during the COVID-19 pandemic.",0.999999616,9.148452471,0
AAPL,2021,1,411.873,Pre,30,Tim Cook,Chief Executive Officer,"During this quarter, availability began for both our new iPad Air as well as the first generation of Macs to feature our groundbreaking M1 chip.",1.95E-05,9.148472011,0
AAPL,2021,1,415.917,Pre,31,Tim Cook,Chief Executive Officer,The demand for all of these products has been very strong.,0.999999994,10.148472,0
AAPL,2021,1,427.528,Pre,32,Tim Cook,Chief Executive Officer,"We have also continued our efforts to bring the latest iPads, enriching content and professional support to educators, students and parents.",0.99643769,11.1449097,0
AAPL,2021,1,439.706,Pre,33,Tim Cook,Chief Executive Officer,"Educational districts and governments worldwide are continuing major deployments, including the largest iPad deployments ever to schools in Germany and Japan.",0.000958222,11.14586792,0
AAPL,2021,1,456.281,Pre,34,Tim Cook,Chief Executive Officer,"Wearables, home, and accessories grew by 30% year-over-year, driven by significant holiday demand for the latest Apple Watch, our entire AirPods lineup, including the new AirPods Max, as well as the new HomePod Mini.",0.999999882,12.1458678,0
AAPL,2021,1,467.097,Pre,35,Tim Cook,Chief Executive Officer,"This broad strength across the category led to new revenue records for each of its three subgroups, and we're very excited about the road ahead for these products.",0.999999998,13.1458678,0
AAPL,2021,1,809.817,Pre,36,Tim Cook,Chief Executive Officer,"Look no further than the great potential of Fitness Plus, which pairs with Apple Watch to deliver real-time on-screen fitness data alongside world-class workouts by the world's best trainers.",0.999984578,14.14585237,0
AAPL,2021,1,823.14,Pre,37,Tim Cook,Chief Executive Officer,"There are new sessions added each week, and customers are loving the flexibility, challenge, and fun of these classes, as well as how the pairing with Apple Watch pushes you to achieve your fitness goals.",0.346058794,14.49191117,0
