tic,year,quarter,timestamp_p,section,section_id,speaker_name_P,speaker_title_P,presentation_text,finberttone_expected_value,finberttone_cumulative_tone,finberttone_change_point
JOUT,2021,1,6.133,Pre,1,Conference Operator,Operator,"Hello, everyone, and welcome to the Johnson Outdoors First Quarter 2021 Earnings Conference Call.",0.001837128,0.001837128,0
JOUT,2021,1,13.779,Pre,2,Conference Operator,Operator,"Today's call will be led by Helen Johnson Leopold, Johnson Outdoors Chairman and Chief Executive Officer.",-5.52E-06,0.001831611,0
JOUT,2021,1,19.423,Pre,3,Conference Operator,Operator,"Also on the call is David Johnson, Vice President and Chief Financial Officer.",-2.98E-05,0.001801835,0
JOUT,2021,1,26.167,Pre,4,Conference Operator,Operator,"Prior to the question and answer session, all participants will be placed in a listen-only mode.",-7.91E-06,0.00179393,0
JOUT,2021,1,30.62,Pre,5,Conference Operator,Operator,"After the prepared remarks, The question and answer session will begin.",-4.87E-05,0.001745183,0
JOUT,2021,1,37.704,Pre,6,Conference Operator,Operator,"If you would like to ask a question during that time, please press star, then the number one on your telephone keypad.",-0.000928054,0.000817129,0
JOUT,2021,1,40.166,Pre,7,Conference Operator,Operator,This call is being recorded.,5.07E-05,0.000867824,0
JOUT,2021,1,44.168,Pre,8,Conference Operator,Operator,Your participation implies consent to our recording this call.,1.26E-06,0.00086908,0
JOUT,2021,1,47.491,Pre,9,Conference Operator,Operator,"If you do not agree to these terms, simply drop off the line.",-0.013613129,-0.012744049,0
JOUT,2021,1,52.714,Pre,10,Conference Operator,Operator,I would now like to hand the call over to Patricia Penman from Johnson Outdoors.,-0.004811256,-0.017555305,0
JOUT,2021,1,54.155,Pre,11,Conference Operator,Operator,"Please go ahead, Ms.",-0.00733152,-0.024886824,0
JOUT,2021,1,54.335,Pre,12,Conference Operator,Operator,Penman.,-0.001337078,-0.026223902,0
JOUT,2021,1,56.034,Pre,13,Patricia Penman,Investor Relations,Thank you.,0.159266192,0.13304229,0
JOUT,2021,1,56.995,Pre,14,Patricia Penman,Investor Relations,"Good morning, everyone.",0.500621597,0.633663887,0
JOUT,2021,1,63.379,Pre,15,Patricia Penman,Investor Relations,Thank you for joining us for our discussion of Johnson Outdoors results for the 2021 fiscal first quarter.,0.000180121,0.633844008,0
JOUT,2021,1,71.204,Pre,16,Patricia Penman,Investor Relations,"If you need a copy of today's news release, it is available on our website at johnsonoutdoors.com under Investor Relations.",-2.79E-05,0.633816131,0
JOUT,2021,1,76.448,Pre,17,Patricia Penman,Investor Relations,I also need to remind you that this conference call may contain forward-looking statements.,-0.011139032,0.622677098,0
JOUT,2021,1,82.432,Pre,18,Patricia Penman,Investor Relations,These statements are made on the basis of our current views and assumptions and are not guarantees of future performance.,-0.008551744,0.614125355,0
JOUT,2021,1,89.657,Pre,19,Patricia Penman,Investor Relations,"Actual events may differ materially from those statements due to a number of factors, many beyond Johnson Outdoors control.",-0.032253284,0.581872071,0
JOUT,2021,1,96.764,Pre,20,Patricia Penman,Investor Relations,These risks and uncertainties include those listed in our press release and filings with the Securities and Exchange Commission.,-0.331187753,0.250684318,0
JOUT,2021,1,102.129,Pre,21,Patricia Penman,Investor Relations,"If you have additional questions following the call, please contact Dave Johnson or me.",-0.001399419,0.249284899,0
JOUT,2021,1,105.071,Pre,22,Patricia Penman,Investor Relations,It is now my pleasure to turn the call over to Helen Johnson-Leopold.,-0.001784506,0.247500393,0
JOUT,2021,1,106.893,Pre,23,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Thanks, Pat.",0.019573282,0.267073675,0
JOUT,2021,1,109.115,Pre,24,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Good morning, and thank you for joining us.",0.64079538,0.907869055,0
JOUT,2021,1,113.757,Pre,25,Helen Johnson Leopold,Chairman and Chief Executive Officer,I'll begin with comments on performance this quarter and outline priorities going forward.,-1.21E-05,0.907856931,0
JOUT,2021,1,117.838,Pre,26,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Dave will review financial highlights, and then we'll take your questions.",-1.96E-06,0.90785497,1
JOUT,2021,1,129.642,Pre,27,Helen Johnson Leopold,Chairman and Chief Executive Officer,"First, fiscal quarter sales reflect the continued impact of the COVID-19 pandemic, driving high demand for outdoor recreation products that began in the second half of our 2020 fiscal year.",0.999900727,1.907755697,0
JOUT,2021,1,141.221,Pre,28,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Consumer demand remained strong during the quarter, and customers replenished their depleted inventory levels in anticipation of the upcoming warm weather recreation season.",0.999999983,2.907755679,0
JOUT,2021,1,145.964,Pre,29,Helen Johnson Leopold,Chairman and Chief Executive Officer,First quarter sales rose 29% to $165.7 million versus $128.1 million in the prior year period.,0.999995177,3.907750857,0
JOUT,2021,1,161.4,Pre,30,Helen Johnson Leopold,Chairman and Chief Executive Officer,Operating profit of $23.6 million was up significantly versus $6.8 million in in the prior year first quarter.,0.999999486,4.907750343,0
JOUT,2021,1,176.692,Pre,31,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Net income was $19.8 million or $1.96 per diluted share, which compared very favorably to the previous year's first quarter net income of $6.4 million or $0.64 per diluted share.",0.999999982,5.907750325,0
JOUT,2021,1,180.535,Pre,32,Helen Johnson Leopold,Chairman and Chief Executive Officer,Jay will provide more details on the quarter's results in his remarks.,-2.26E-06,5.907748068,0
JOUT,2021,1,196.013,Pre,33,Helen Johnson Leopold,Chairman and Chief Executive Officer,"In fishing, our largest business, demand remains high across all brands, and we continue to build on a powerful legacy of innovation that draws both seasoned anglers and new anglers to Johnson Outdoors for a great fishing experience.",0.999999991,6.90774806,0
JOUT,2021,1,212.324,Pre,34,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Hummingbird's award-winning Mega 360 imaging, the only sonar option that provides a high-resolution 360-degree view with unmatched detail and coverage, continues to do well in its second year on the market.",0.999999979,7.907748039,0
JOUT,2021,1,220.029,Pre,35,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Before Mega 360, anglers were limited to a sonar view either below or to the sides of their boat while moving.",-2.04E-05,7.907727605,0
JOUT,2021,1,230.087,Pre,36,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Now with Mega360, anglers can make an accurate cast in any direction to either side, in front of and behind them, even if the boat is anchored.",-2.03E-06,7.907725574,0
JOUT,2021,1,242.575,Pre,37,Helen Johnson Leopold,Chairman and Chief Executive Officer,"When Mega360 imaging is used together with Minn Kota SpotLock technology, it provides anglers with an effortless command of their boat and an uncompromised view of fish and the world below.",0.002586111,7.910311684,0
JOUT,2021,1,261.863,Pre,38,Helen Johnson Leopold,Chairman and Chief Executive Officer,"We are constantly looking for ways that our products can easily integrate and communicate, and we continue to enhance our one-boat network, enabling anglers to control their connected Minn Kota trolling motor, Talon and Raptor shallow water anchors, and Cannon downrigger directly from their Hummingbird unit.",0.999867963,8.910179648,0
JOUT,2021,1,279.812,Pre,39,Helen Johnson Leopold,Chairman and Chief Executive Officer,"Hummingbird also recently started shipping a new generation of Helix fish finders, providing anglers with the latest in innovative imaging technology with Mega Imaging Plus and a variety of screen sizes to ensure there is a Helix to fit any angler's needs.",0.817097384,9.727277032,0
